points,production,tradeGain,robberCardsGain,tradeLoss,robberCardsLoss,tribute
7,46,6,3,9,6,0
3,19,3,3,7,0,4
4,30,6,3,11,0,4
7,62,9,10,17,13,0
7,47,8,4,16,7,0
10,63,12,16,26,3,10
4,38,10,2,17,5,5
6,35,9,8,14,0,4
10,50,3,3,8,6,4
5,62,13,4,25,3,9
5,35,12,0,22,2,0
4,24,6,2,13,0,0
4,36,2,3,8,4,4
10,46,7,6,13,3,4
5,37,4,3,8,5,0
9,58,7,6,14,6,5
7,50,6,3,22,2,0
10,75,9,8,28,2,12
7,87,19,2,45,5,12
10,42,14,18,24,4,5
8,59,6,1,17,9,4
6,39,3,3,9,3,0
5,43,1,6,3,12,9
7,52,6,15,21,9,4
10,65,14,8,39,7,0
7,56,4,15,16,10,0
6,55,6,9,16,11,0
6,44,8,6,19,3,4
6,34,7,15,17,3,0
6,70,6,4,12,16,16
10,62,10,8,21,11,6
5,29,3,6,6,2,4
6,68,5,18,17,4,30
7,52,5,8,6,7,13
10,82,9,6,24,15,9
5,37,10,2,22,0,8
10,71,12,8,23,5,5
7,34,2,7,6,4,0
8,51,4,5,9,7,5
4,31,16,1,21,3,4
10,41,9,0,11,4,0
6,46,11,2,20,0,0
5,23,10,5,13,1,0
8,55,9,11,18,5,0
9,69,7,6,20,8,5
10,83,5,17,15,13,0
8,55,12,3,17,1,0
6,46,4,8,13,0,4
9,55,11,9,23,4,5
11,72,17,4,32,9,0
7,68,8,3,15,5,10
7,50,4,4,10,5,13
10,43,4,18,7,9,5
3,19,4,0,8,3,4
5,39,6,9,13,6,0
6,38,5,9,14,2,4
7,68,11,16,31,5,13
6,60,6,2,18,11,8
10,67,3,4,12,9,9
6,53,8,3,18,2,5
4,38,2,10,8,11,4
10,59,10,16,17,8,9
8,54,6,3,13,8,0
7,51,7,3,14,10,4
10,67,5,12,11,8,16
6,54,4,3,5,5,8
6,40,7,7,16,0,8
10,60,15,5,24,4,5
7,47,13,9,21,4,9
8,71,11,5,26,8,8
2,31,7,9,10,0,14
8,86,17,12,43,15,4
5,47,9,16,16,8,8
10,77,19,7,47,8,4
9,56,13,4,29,0,4
7,46,10,2,25,4,0
10,55,7,11,15,8,0
6,26,4,5,4,0,4
6,47,2,4,5,4,6
5,36,6,6,11,6,0
6,53,8,4,18,7,4
10,46,9,10,14,4,0
8,70,7,6,14,3,33
5,32,12,2,23,1,0
12,61,7,11,19,4,0
6,43,6,4,14,2,5
6,37,7,0,16,2,4
11,72,9,13,23,8,4
9,67,10,1,28,9,0
6,43,7,12,7,2,0
7,31,3,0,6,1,0
4,47,6,5,17,5,8
10,77,15,5,33,9,8
4,29,9,8,10,5,8
5,41,8,11,22,4,0
5,41,6,7,14,6,4
10,64,5,9,15,6,10
4,44,7,4,22,1,8
8,57,3,5,2,12,8
